vertical,city_slug,state_code,provider_dataset_path,listing_json_path,runtime_ready,notes
neuro,des-moines-ia,IA,data/example_providers/neuro/des-moines-ia__adhd_eval.json,data/listings/des-moines-ia.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,boise-id,ID,data/example_providers/neuro/boise-id__adhd_eval.json,data/listings/boise-id.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,chicago-il,IL,data/example_providers/neuro/chicago-il__adhd_eval.json,data/listings/chicago-il.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,indianapolis-in,IN,data/example_providers/neuro/indianapolis-in__adhd_eval.json,data/listings/indianapolis-in.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,kansas-city-ks,KS,data/example_providers/neuro/kansas-city-ks__adhd_eval.json,data/listings/kansas-city-ks.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,louisville-ky,KY,data/example_providers/neuro/louisville-ky__adhd_eval.json,data/listings/louisville-ky.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,new-orleans-la,LA,data/example_providers/neuro/new-orleans-la__adhd_eval.json,data/listings/new-orleans-la.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,boston-ma,MA,data/example_providers/neuro/boston-ma__adhd_eval.json,data/listings/boston-ma.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,baltimore-md,MD,data/example_providers/neuro/baltimore-md__adhd_eval.json,data/listings/baltimore-md.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,portland-me,ME,data/example_providers/neuro/portland-me__adhd_eval.json,data/listings/portland-me.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,detroit-mi,MI,data/example_providers/neuro/detroit-mi__adhd_eval.json,data/listings/detroit-mi.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,minneapolis-mn,MN,data/example_providers/neuro/minneapolis-mn__adhd_eval.json,data/listings/minneapolis-mn.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,st-louis-mo,MO,data/example_providers/neuro/st-louis-mo__adhd_eval.json,data/listings/st-louis-mo.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,jackson-ms,MS,data/example_providers/neuro/jackson-ms__adhd_eval.json,data/listings/jackson-ms.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,billings-mt,MT,data/example_providers/neuro/billings-mt__adhd_eval.json,data/listings/billings-mt.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,charlotte-nc,NC,data/example_providers/neuro/charlotte-nc__adhd_eval.json,data/listings/charlotte-nc.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,fargo-nd,ND,data/example_providers/neuro/fargo-nd__adhd_eval.json,data/listings/fargo-nd.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,omaha-ne,NE,data/example_providers/neuro/omaha-ne__adhd_eval.json,data/listings/omaha-ne.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,manchester-nh,NH,data/example_providers/neuro/manchester-nh__adhd_eval.json,data/listings/manchester-nh.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,newark-nj,NJ,data/example_providers/neuro/newark-nj__adhd_eval.json,data/listings/newark-nj.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,albuquerque-nm,NM,data/example_providers/neuro/albuquerque-nm__adhd_eval.json,data/listings/albuquerque-nm.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,las-vegas-nv,NV,data/example_providers/neuro/las-vegas-nv__adhd_eval.json,data/listings/las-vegas-nv.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,new-york-city-ny,NY,data/example_providers/neuro/new-york-city-ny__adhd_eval.json,data/listings/new-york-city-ny.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,columbus-oh,OH,data/example_providers/neuro/columbus-oh__adhd_eval.json,data/listings/columbus-oh.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,oklahoma-city-ok,OK,data/example_providers/neuro/oklahoma-city-ok__adhd_eval.json,data/listings/oklahoma-city-ok.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,portland-or,OR,data/example_providers/neuro/portland-or__adhd_eval.json,data/listings/portland-or.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,philadelphia-pa,PA,data/example_providers/neuro/philadelphia-pa__adhd_eval.json,data/listings/philadelphia-pa.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,providence-ri,RI,data/example_providers/neuro/providence-ri__adhd_eval.json,data/listings/providence-ri.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,columbia-sc,SC,data/example_providers/neuro/columbia-sc__adhd_eval.json,data/listings/columbia-sc.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,sioux-falls-sd,SD,data/example_providers/neuro/sioux-falls-sd__adhd_eval.json,data/listings/sioux-falls-sd.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,memphis-tn,TN,data/example_providers/neuro/memphis-tn__adhd_eval.json,data/listings/memphis-tn.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,dallas-tx,TX,data/example_providers/neuro/dallas-tx__adhd_eval.json,data/listings/dallas-tx.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,houston-tx,TX,data/example_providers/neuro/houston-tx__adhd_eval.json,data/listings/houston-tx.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,salt-lake-city-ut,UT,data/example_providers/neuro/salt-lake-city-ut__adhd_eval.json,data/listings/salt-lake-city-ut.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,richmond-va,VA,data/example_providers/neuro/richmond-va__adhd_eval.json,data/listings/richmond-va.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,burlington-vt,VT,data/example_providers/neuro/burlington-vt__adhd_eval.json,data/listings/burlington-vt.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,seattle-wa,WA,data/example_providers/neuro/seattle-wa__adhd_eval.json,data/listings/seattle-wa.json,true,Wave 2 grouped Neuro provider sets (metro/state verified standard 1)
neuro,milwaukee-wi,WI,data/example_providers/neuro/milwaukee-wi__adhd_eval.json,data/listings/milwaukee-wi.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,charleston-wv,WV,data/example_providers/neuro/charleston-wv__adhd_eval.json,data/listings/charleston-wv.json,true,Wave 3 state-complete grouped Neuro provider sets
neuro,cheyenne-wy,WY,data/example_providers/neuro/cheyenne-wy__adhd_eval.json,data/listings/cheyenne-wy.json,true,Wave 3 state-complete grouped Neuro provider sets
